PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	[1] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S1_S2-C10_1_6765.d.PG.Quantity	[2] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S4_S2-D3_1_6770.d.PG.Quantity	[3] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S7_S2-B8_1_6751.d.PG.Quantity	[4] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S10_S2-A5_1_6736.d.PG.Quantity	[5] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S13_S2-D9_1_6776.d.PG.Quantity	[6] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S16_S2-C7_1_6762.d.PG.Quantity	[7] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S19_S2-E1_1_6780.d.PG.Quantity	[8] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S22_S2-B12_1_6755.d.PG.Quantity	[9] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S25_S2-B2_1_6745.d.PG.Quantity	[10] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S28_S2-B4_1_6747.d.PG.Quantity	[11] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S31_S2-D7_1_6774.d.PG.Quantity	[12] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S34_S2-A11_1_6742.d.PG.Quantity	[13] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S37_S2-E5_1_6784.d.PG.Quantity	[14] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S40_S2-A6_1_6737.d.PG.Quantity	[15] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S43_S2-D1_1_6768.d.PG.Quantity	[16] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S46_S2-E3_1_6782.d.PG.Quantity	[17] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S49_S2-C5_1_6760.d.PG.Quantity	[18] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S52_S2-A2_1_6733.d.PG.Quantity	[19] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S55_S2-G4_1_6807.d.PG.Quantity	[20] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S61_S3-A1_1_6829.d.PG.Quantity	[21] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S64_S2-H6_1_6821.d.PG.Quantity	[22] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S67_S2-G11_1_6814.d.PG.Quantity	[23] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S73_S2-G1_1_6804.d.PG.Quantity	[24] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S76_S3-A3_1_6831.d.PG.Quantity	[25] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S79_S2-G8_1_6811.d.PG.Quantity	[26] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S82_S2-F6_1_6797.d.PG.Quantity	[27] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S85_S2-F4_1_6795.d.PG.Quantity	[28] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S88_S2-H3_1_6818.d.PG.Quantity	[29] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S91_S2-F2_1_6793.d.PG.Quantity	[30] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S94_S2-H2_1_6817.d.PG.Quantity	[31] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S94_S2-H10_1_6825.d.PG.Quantity	[32] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S97_S2-E7_1_6786.d.PG.Quantity	[33] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S100_S3-A9_1_6837.d.PG.Quantity	[34] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S102_S3-A7_1_6835.d.PG.Quantity	[35] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S103_S2-E10_1_6789.d.PG.Quantity	[36] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S106_S2-F8_1_6799.d.PG.Quantity
A0A096MK47	Mlip	Muscular LMNA-interacting protein	MLIP_RAT	165.28843688964844	153.3312225341797	107.25833129882812	133.18157958984375	196.49913024902344	134.0445098876953	NaN	110.53534698486328	129.9600067138672	144.0179443359375	103.76669311523438	120.00511932373047	136.95449829101562	91.96068572998047	106.19071197509766	109.93466186523438	146.21926879882812	126.49369049072266	125.81896209716797	170.4047088623047	277.4302062988281	224.22427368164062	132.6857147216797	143.73109436035156	149.2064971923828	108.14561462402344	138.77125549316406	160.63458251953125	94.04888916015625	190.4604949951172	153.46356201171875	90.79639434814453	156.91217041015625	147.05014038085938	127.03180694580078	96.5837631225586
A0JPJ7	Ola1	Obg-like ATPase 1	OLA1_RAT	362.8347473144531	382.5970764160156	390.488037109375	318.57012939453125	357.9535217285156	380.2900695800781	305.380859375	365.2851867675781	332.4382019042969	364.02252197265625	433.7057189941406	276.6364440917969	358.4198303222656	296.27227783203125	370.80548095703125	324.18414306640625	375.8450012207031	361.8793640136719	373.44482421875	388.3890380859375	359.3531799316406	401.20166015625	321.427978515625	298.8846130371094	305.1905822753906	332.2423400878906	288.6269836425781	257.9127197265625	359.8495788574219	347.446044921875	340.8050537109375	373.84625244140625	370.3643493652344	287.3630065917969	303.0699462890625	344.3412170410156
A0JPM9	Eif3j	Eukaryotic translation initiation factor 3 subunit J	EIF3J_RAT	235.6376495361328	288.4875183105469	532.3876953125	493.1529541015625	459.59600830078125	413.2725524902344	392.1919860839844	250.4381103515625	244.19134521484375	233.44757080078125	415.385009765625	285.2902526855469	285.95025634765625	360.42620849609375	295.4605712890625	354.4441833496094	337.943115234375	324.8718566894531	248.57028198242188	275.90679931640625	262.2818603515625	237.8480224609375	218.492431640625	200.98109436035156	190.0966339111328	280.3760070800781	288.45758056640625	259.1422119140625	393.8365783691406	220.10043334960938	230.63223266601562	377.2528991699219	184.4423370361328	218.57931518554688	247.4640350341797	281.7438049316406
A0JPP1	Drap1	Dr1-associated corepressor	NC2A_RAT	NaN	49.85924530029297	NaN	52.14752197265625	31.715476989746094	NaN	113.13343811035156	NaN	NaN	NaN	41.3076286315918	30.20281410217285	NaN	26.92339515686035	21.634984970092773	32.932743072509766	47.273860931396484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.179893493652344	26.12153434753418	NaN	NaN
A0JPQ4	Trim72	Tripartite motif-containing protein 72	TRI72_RAT	430.2951354980469	453.3999938964844	485.0390625	585.3184814453125	603.5698852539062	466.25982666015625	49.3285026550293	435.39990234375	420.75347900390625	504.0305480957031	538.7539672851562	622.5852661132812	347.8633117675781	662.3577270507812	532.3971557617188	362.5669250488281	628.708984375	773.7119750976562	472.2285461425781	626.7965087890625	533.2664184570312	724.7377319335938	467.6251525878906	615.8794555664062	648.776611328125	518.7941284179688	511.6104431152344	581.4623413085938	539.6285400390625	511.188232421875	714.24462890625	558.5863037109375	664.9761962890625	531.8816528320312	594.5933227539062	620.9912719726562
A1A5Q0	Lmod2	Leiomodin-2	LMOD2_RAT	50.8454475402832	44.79611587524414	39.217498779296875	40.97166061401367	41.86887741088867	45.984230041503906	NaN	31.27611541748047	49.94261169433594	74.2976303100586	48.85636901855469	47.93070983886719	29.738779067993164	36.497474670410156	25.569875717163086	41.30186080932617	75.27971649169922	52.37747573852539	24.100812911987305	40.0781135559082	42.29206848144531	24.688114166259766	16.624155044555664	62.15486145019531	53.736812591552734	18.42384147644043	29.050561904907227	32.699462890625	24.341960906982422	37.37392807006836	46.335227966308594	43.31120300292969	24.21535873413086	26.93379783630371	28.36895179748535	15.745705604553223
A1L108	Arpc5l	Actin-related protein 2/3 complex subunit 5-like protein	ARP5L_RAT	158.38851928710938	182.33642578125	148.7383575439453	127.38462829589844	133.4910888671875	177.3976593017578	491.95086669921875	173.64224243164062	139.34376525878906	170.83734130859375	111.1161880493164	93.1788330078125	190.22894287109375	83.88764953613281	138.5838623046875	142.55030822753906	160.44427490234375	108.4779052734375	114.78157806396484	106.33909606933594	190.88795471191406	118.55733489990234	103.11482238769531	113.6454849243164	126.7024154663086	119.33240509033203	75.17300415039062	95.5423812866211	85.90660095214844	121.09010314941406	94.21135711669922	139.80885314941406	86.79226684570312	93.24408721923828	74.0926284790039	83.65447998046875
A2RRU1	Gys1	Glycogen [starch] synthase, muscle	GYS1_RAT	356.790283203125	413.5845642089844	268.36956787109375	313.49072265625	347.10906982421875	307.39703369140625	35.98470687866211	363.43829345703125	367.7958068847656	360.1021423339844	366.4957275390625	387.13031005859375	335.1915283203125	306.488525390625	233.94862365722656	274.52740478515625	372.5308532714844	284.0973815917969	367.24652099609375	307.49554443359375	291.0106506347656	287.3753662109375	229.2099151611328	293.5843200683594	256.92730712890625	300.5589599609375	286.557861328125	312.65643310546875	308.5545654296875	302.60687255859375	210.5681915283203	262.89642333984375	317.176025390625	385.1995849609375	361.1676940917969	288.0757751464844
A2RUV9	Aebp1	Adipocyte enhancer-binding protein 1	AEBP1_RAT	NaN	NaN	NaN	NaN	NaN	NaN	557.2713012695312	NaN	32.59455108642578	NaN	NaN	25.92235565185547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.379396438598633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.51791763305664
A2RUW1	Tollip	Toll-interacting protein	TOLIP_RAT	53.03786849975586	95.21044158935547	83.01827239990234	80.00772857666016	159.966552734375	57.10118103027344	251.418212890625	64.27664184570312	65.4001235961914	49.87520980834961	73.42902374267578	78.98831176757812	77.24560546875	68.88589477539062	78.6602554321289	72.33515930175781	63.40026092529297	69.82905578613281	37.366615295410156	38.190189361572266	50.8427734375	51.000152587890625	59.24044418334961	41.660911560058594	44.507347106933594	47.246341705322266	55.362937927246094	51.228309631347656	85.51423645019531	39.34651184082031	57.59703826904297	49.450225830078125	40.41596984863281	38.09511947631836	36.61683654785156	27.98999786376953
