sample_id;sample_id_export;exp_id;tissue;intervention;time;cryostat;cryostat_date;lcm ;lcm_date;duration_frozen_slide;sampleprep;sampleprep_date;duration_frozen_microdis;sampleprep_occ
1;131883;Sed 0 a muscle;Muscle;sed;0;22/Sep;4;01/Nov;14;40;07/Nov;1;6;2
2;131850;Sed 0 a tendon;Tendon;sed;0;22/Sep;4;23/Oct;8;31;07/Nov;1;15;1
3;131877;Sed 0 a MTJ;MTJ;sed;0;22/Sep;4;26/Oct;10;34;07/Nov;1;12;2
4;131888;Sed 5 a muscle;Muscle;sed;5;25/Oct;12;27/Oct;11;2;07/Nov;1;11;3
5;131861;Sed 5 a tendon;Tendon;sed;5;25/Oct;12;27/Oct;11;2;07/Nov;1;11;1
6;131897;Sed 5 a MTJ;MTJ;sed;5;25/Oct;12;27/Oct;11;2;07/Nov;1;11;3
7;131869;Sed 10 a muscle;Muscle;sed;10;06/Oct;10;09/Oct;1;3;07/Nov;1;29;2
8;131853;Sed 10 a tendon;Tendon;sed;10;06/Oct;10;24/Oct;9;18;07/Nov;1;14;1
9;131882;Sed 10 a MTJ;MTJ;sed;10;06/Oct;10;02/Nov;15;27;07/Nov;1;5;2
10;131854;CC 0 a muscle;Muscle;cc;0;25/Sep;5;10/Oct;2;15;07/Nov;1;28;1
11;131870;CC 0 a tendon;Tendon;cc;0;25/Sep;5;20/Oct;7;25;07/Nov;1;18;2
12;131857;CC 0 a MTJ;MTJ;cc;0;25/Sep;5;20/Oct;7;25;07/Nov;1;18;1
13;131894;CC 5 a muscle;Muscle;cc;5;25/Sep;5;23/Oct;8;28;07/Nov;1;15;3
14;131858;CC 5 a tendon;Tendon;cc;5;25/Sep;5;23/Oct;8;28;07/Nov;1;15;1
15;131872;CC 5 a MTJ;MTJ;cc;5;25/Sep;5;23/Oct;8;28;07/Nov;1;15;2
16;131880;CC 10 a muscle;Muscle;cc;10;27/Sep;6;09/Oct;1;12;07/Nov;1;29;2
17;131896;CC 10 a tendon;Tendon;cc;10;27/Sep;6;16/Oct;4;19;07/Nov;1;22;3
18;131891;CC 10 a MTJ;MTJ;cc;10;27/Sep;6;17/Oct;5;20;07/Nov;1;21;3
19;131898;ECC 0 a muscle;Muscle;ecc;0;27/Sep;6;09/Oct;1;12;07/Nov;1;29;3
20;131881;ECC 0 a tendon;Tendon;ecc;0;27/Sep;6;24/Oct;9;27;07/Nov;1;14;2
21;131866;ECC 0 a MTJ;MTJ;ecc;0;27/Sep;6;24/Oct;9;27;07/Nov;1;14;1
22;131873;ECC 5 a muscle;Muscle;ecc;5;27/Sep;6;09/Oct;1;12;07/Nov;1;29;2
23;131867;ECC 5 a tendon;Tendon;ecc;5;27/Sep;6;17/Oct;5;20;07/Nov;1;21;1
24;131864;ECC 5 a MTJ;MTJ;ecc;5;27/Sep;6;17/Oct;5;20;07/Nov;1;21;1
25;131863;ECC 10 a muscle;Muscle;ecc;10;28/Sep;7;09/Oct;1;11;07/Nov;1;29;1
26;131899;ECC 10 a tendon;Tendon;ecc;10;28/Sep;7;17/Oct;5;19;07/Nov;1;21;3
27;131871;ECC 10 a MTJ;MTJ;ecc;10;28/Sep;7;17/Oct;5;19;07/Nov;1;21;2
28;131865;CC 0 b muscle;Muscle;cc;0;27/Sep;6;20/Oct;7;23;07/Nov;1;18;1
29;131893;CC 0 b tendon;Tendon;cc;0;27/Sep;6;20/Oct;7;23;07/Nov;1;18;3
30;131874;CC 0 b MTJ;MTJ;cc;0;27/Sep;6;10/Oct;2;13;07/Nov;1;28;2
31;131892;CC 5 b muscle;Muscle;cc;5;11/Oct;11;12/Oct;3;1;07/Nov;1;26;3
32;131875;CC 5 b tendon;Tendon;cc;5;11/Oct;11;16/Oct;4;5;07/Nov;1;22;2
33;131885;CC 5 b MTJ;MTJ;cc;5;11/Oct;11;16/Oct;4;5;07/Nov;1;22;2
34;131860;CC 10 b muscle;Muscle;cc;10;27/Sep;6;12/Oct;3;15;07/Nov;1;26;1
35;131879;CC 10 b tendon;Tendon;cc;10;27/Sep;6;23/Oct;8;26;07/Nov;1;15;2
36;131901;CC 10 b MTJ;MTJ;cc;10;27/Sep;6;23/Oct;8;26;07/Nov;1;15;3
37;131902;ECC 0 b muscle;Muscle;ecc;0;28/Sep;6;10/Oct;2;12;07/Nov;1;28;3
38;131903;ECC 0 b tendon;Tendon;ecc;0;27/Sep;6;31/Oct;13;34;07/Nov;1;7;3
39;131876;ECC 0 b MTJ;MTJ;ecc;0;27/Sep;6;01/Nov;14;35;07/Nov;1;6;2
40;131855;ECC 5 b muscle;Muscle;ecc;5;25/Oct;12;30/Oct;12;5;07/Nov;1;8;1
41;131890;ECC 5 b tendon;Tendon;ecc;5;25/Oct;12;30/Oct;12;5;07/Nov;1;8;3
